INFO 02/06/2024 19:54:30 Starting listener: (127.0.0.1:8005)
INFO 02/06/2024 19:54:30 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:30 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:31 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:31 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:32 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:32 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:32 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:32 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:33 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:33 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:34 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:34 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:34 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:34 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:35 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:35 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:36 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:36 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:36 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:36 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:37 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:37 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:38 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:38 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:38 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 19:54:38 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
INFO 02/06/2024 19:54:39 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8004, result: None
