INFO 25/06/2024 15:58:54 Starting listener: (127.0.0.1:8031)
INFO 25/06/2024 15:58:55 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:55 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:56 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:56 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:56 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:56 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:57 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:57 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:58 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:58 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:58 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:58 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:58:59 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:58:59 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:00 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:00 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:00 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:00 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:01 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:01 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:01 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:01 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:02 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:02 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:02 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:02 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:03 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:03 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:03 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:03 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:04 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:04 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:05 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:05 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:05 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:05 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:06 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:06 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:06 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:06 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:07 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:07 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:07 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:07 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:08 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:08 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:08 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:08 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:09 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:09 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:09 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:09 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:10 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:10 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:10 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:11 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:11 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:11 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:11 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:12 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:12 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:12 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:12 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:12 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:13 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:13 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:14 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:14 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:14 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:14 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:15 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:15 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:15 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:15 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:16 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:16 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:16 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:16 Received a message: Go back on holiday, reindeer!
INFO 25/06/2024 15:59:17 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8030, result: None
INFO 25/06/2024 15:59:17 Received a message: Go back on holiday, reindeer!
