INFO 02/06/2024 20:12:59 Starting listener: (127.0.0.1:8003)
INFO 02/06/2024 20:12:59 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:03 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:03 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:03 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:04 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:04 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:05 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:05 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:05 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:05 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:06 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:06 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:06 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:06 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:07 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:07 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:08 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:08 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:09 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:09 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:09 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:09 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:10 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:10 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:10 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:10 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
INFO 02/06/2024 20:13:11 Received a message: Go back on holiday, reindeer!
INFO 02/06/2024 20:13:11 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8002, result: None
